128-139GlRpn8,127-133ScRpn8
7.27796,2.33046123
8.1545,2.45785626
5.0923,2.67800637
8.17292,2.78374158
8.0588,2.13757163
7.40694,1.71451986
7.76174,2.37531138
6.83753,2.28192342
7.2633,2.65188555
7.43059,2.88634159
6.82984,1.82226916
6.80794,1.83262991
6.06245,2.33426056
7.26823,2.71018366
6.86081,2.38751907
6.4093,2.30662782
7.49901,2.52994935
7.89215,2.49718085
7.75258,2.13398542
7.14388,2.76638285
8.33684,1.6559726
8.78709,2.02510228
8.65319,2.43327958
8.15591,3.3331026
9.09071,2.29622487
8.95633,1.84520946
8.39774,3.1006142
9.2965,3.00852443
8.61119,2.38651713
8.22172,3.2193373
6.54426,2.88281588
8.97911,3.10838928
7.54366,2.96335969
7.18334,2.32743007
6.82791,2.86837438
7.35553,2.26477687
6.90065,2.58996404
7.16371,2.35657521
7.56582,2.29506311
7.8432,2.77396714
6.69709,2.54438205
6.74493,2.55629841
8.88138,2.40930773
8.56799,2.72383665
7.93384,2.27813442
8.49933,2.42878888
7.96081,2.37436272
7.00871,2.52276151
7.24097,2.14664564
7.09253,2.31652621
7.26546,2.7129937
7.41386,2.41516916
7.0701,2.77337562
6.59769,2.29532149
6.94933,2.29365854
4.9536,2.19003592
4.36859,2.62860126
5.29694,2.24303781
4.87289,2.44752957
5.91223,2.06932875
4.60384,2.21397714
5.54211,2.31591468
4.12548,2.83574492
4.2697,2.47409504
6.06748,2.62866348
6.50257,2.23529631
5.22768,2.62906763
4.92759,2.3529712
6.80005,2.35256978
7.12037,2.04749607
6.17822,2.87867386
6.23047,2.79588397
7.50371,2.22740033
6.73347,2.16445543
7.01242,2.30999325
7.53762,2.10690967
7.05905,2.54323062
8.2987,2.39669979
8.60675,2.38809829
8.30621,1.99729266
8.35748,2.34091148
7.5819,2.71377534
8.10754,2.52625423
9.29008,2.67430146
9.64559,2.22302368
10.1251,2.38591488
9.40497,2.26190645
8.79698,2.23757532
9.49074,2.46840661
9.71857,2.30272975
8.99215,2.73304165
9.27425,2.21712926
9.289,2.62481057
8.72625,2.22829926
9.00279,2.88326407
9.48066,3.0156245
8.65526,2.86647228
8.8407,3.34154002
9.09174,2.35597483
10.0946,2.51595798
9.07893,2.6278874
9.64215,2.43227728
9.34731,2.24585482
9.68302,2.59606442
9.40927,2.06403173
9.5603,2.70553259
10.3256,2.40891609
8.8512,2.59839994
9.84973,2.45713401
8.29191,3.22246224
9.20797,2.86000566
8.99332,2.56343063
9.52738,2.61697997
9.46553,1.98858754
9.82692,2.34586258
9.63499,2.20248201
9.64581,2.73619055
9.49774,3.06371331
8.96133,2.20822252
9.58034,1.94811996
8.15029,2.4592509
9.07811,2.26644214
8.37032,2.32693119
7.38453,2.32258933
8.56848,2.35238321
8.96699,2.36067914
8.25219,2.65840855
7.30061,2.17707783
7.14287,2.27409481
7.79605,2.58843731
7.52249,2.33706053
8.23334,2.38108401
8.66445,2.35946637
7.2913,2.45270383
8.54134,2.67908544
7.94957,2.51455593
8.00314,2.23013298
9.32194,2.33601813
10.2579,2.37613611
10.3093,2.12029677
10.0288,2.52633051
8.02169,2.62775039
8.18632,2.67735131
8.47461,2.19666664
8.78964,2.35322841
7.99412,2.45088667
8.12705,2.29331318
8.53937,2.69488009
8.93528,2.41072709
9.44535,2.32976621
8.30791,2.47569744
8.76649,2.97976444
7.77779,2.34975326
8.63338,2.76693935
8.56525,3.08320648
7.50587,3.10092993
8.76922,2.46212351
8.57351,2.06596364
7.25694,2.4655805
7.46049,2.26830302
8.02152,2.0617721
8.88414,2.54376265
9.78134,2.49018823
8.20486,3.09858102
8.60712,2.06049528
9.04936,2.50712453
9.01624,2.49246157
8.15804,2.2243092
8.44822,2.38815132
8.14785,2.29812138
7.44499,2.09704965
7.29442,2.21780935
7.1617,2.56004753
7.97581,2.61023576
8.19851,2.00104469
7.95041,2.30776604
8.9274,1.97660059
8.7781,2.23373022
8.71032,2.43288574
8.41674,2.22244306
8.76558,2.26121796
7.89426,2.4684144
6.90903,2.64608758
7.32316,2.40641962
6.86703,2.4338561
6.58726,2.38450176
6.79239,2.51738401
6.308,2.46842904
7.35171,2.21891383
5.94658,2.22634662
5.98443,3.12017585
6.53849,2.7007226
7.15718,2.16560048
7.0522,2.15996987
7.5648,2.59322209
6.51432,2.21024304
5.30021,2.46351168
8.0605,2.33039556
7.74899,2.29253937
6.79866,2.41886424
5.88359,2.28825866
6.19981,2.4073419
8.13248,2.24725389
6.40294,2.25320162
7.58121,2.31626323
7.2785,2.33719887
6.69244,2.44654034
7.35171,2.17697386
7.88598,2.15486167
6.84352,2.18270515
7.3047,2.28417702
7.21949,2.36147031
8.80702,2.28769123
8.72155,2.25206759
7.02587,2.15052542
6.58343,2.55640987
8.31798,2.16971289
9.2425,2.34544387
8.0292,2.00446123
7.85227,2.35595138
9.02597,2.51649072
9.32817,2.41567997
8.6643,2.18094525
7.3155,2.16320098
6.77693,2.39338938
7.45796,2.15315559
7.49442,2.31602187
7.90918,2.29501858
6.82394,2.06504206
7.56121,1.98124723
6.47293,2.44765998
6.72944,2.17236013
7.61827,2.43913974
7.41682,2.73485578
7.11417,2.62653738
7.51767,2.61694896
7.21382,2.27393007
7.61952,2.32806633
6.9803,2.68973548
8.03901,2.25385051
6.10076,2.50999164
7.91429,2.42980993
7.56804,2.34481965
7.20913,2.51725158
5.60743,2.41963725
5.74407,2.48584512
6.28584,2.28242354
7.03265,2.07971846
7.40013,2.28123357
7.05134,2.22055483
6.9499,2.22962182
7.1282,2.40617989
8.13931,2.12913675
7.90336,2.51340518
9.42265,2.27661827
8.19201,2.30719308
8.44675,2.21663092
7.40658,2.52085933
8.05374,2.1645417
7.05081,2.64930643
7.48288,2.25651481
6.89447,2.23211109
8.55671,2.47374489
9.22864,2.28692653
8.20457,2.21647515
7.94793,2.45619835
7.94517,2.1568673
7.14509,2.1510445
6.71523,2.70178994
6.97376,2.40144773
6.87989,2.2272427
6.54136,2.35136473
7.13776,2.52936738
6.17251,2.48380495
7.00776,2.23365553
8.08083,2.36582677
6.2959,2.42315801
6.52441,2.25181619
6.33039,2.36294969
6.31254,2.5214612
6.98545,2.41622837
6.0754,2.84319194
7.04237,2.57428234
6.7106,2.04724063
6.97534,2.21223836
6.20603,2.50928292
6.7361,3.17982517
5.4636,2.34464156
6.40215,2.59961551
6.8138,2.70180222
7.39886,2.29174857
5.32071,2.10445531
6.64821,2.24985495
6.56636,2.12872992
6.40182,2.46576594
6.69151,2.7350219
7.2306,2.61125258
6.92111,2.35925121
5.80941,2.3713828
6.83494,2.53606724
6.15992,2.43262904
5.89804,1.90008922
5.69434,2.74891621
6.08603,2.58322446
6.56523,2.65906056
7.17629,2.89267305
5.78888,2.67082102
5.62086,2.39858431
6.20122,2.43689437
6.33102,2.25332424
6.61029,2.12774096
5.48955,2.10966354
6.40435,2.28307345
6.11999,2.17447854
6.45756,2.47163948
5.57395,2.0417271
6.03194,2.0291033
7.05036,2.4158771
6.51765,2.47363617
5.81186,2.27397952
6.78125,2.55780725
6.03052,2.45550351
6.46348,2.56940736
7.02713,2.66309571
6.06041,2.26313391
6.46849,2.40829091
8.50338,2.70796829
7.85296,2.58224034
7.48373,2.21998768
6.05579,2.18973698
6.69046,2.35382877
